,,Orkut,LiveJournal,Wiki,Talk
bfs,GraphTango,6.503587000000001,3.479555000000001,1.2693999999999999,0.201745
bfs,temp,6.520105000000001,3.5030780000000004,1.2636439999999998,0.187597
bfs,GT No Switch,8.400996,3.489264,1.1998699999999998,0.149172
bfs,GT Only Growth,8.619761,3.5094220000000003,1.274496,0.244572



