,,Orkut,LiveJournal,Wiki,Talk
bfs,DegAwareRHH,31.248114,24.444765000000004,7.108494,1.086096
bfs,Stinger,57.04501500000001,16.804347,80.15519700000002,7.663776
bfs,AdListShared,18.202298999999996,8.356903,34.95792,6.727882
bfs,AdListChunked,18.810768000000007,9.831169999999998,24.076325,4.214261
bfs,CFH + adjList,7.717203000000001,4.2974299999999985,1.482619,0.205928
bfs,GraphTango 2Th,24.985530000000004,13.267800999999997,4.242086,0.47872600000000004
bfs,Stinger 2Th,255.69393299999993,70.932744,365.0354610000001,34.523512
bfs,AdListShared 2Th,53.723694999999985,25.169158999999997,36.618618000000005,5.606688
bfs,AdListChunked 2Th,57.832811,21.978005999999997,58.767470999999986,8.887836
bfs,GraphTango 4Th,15.258475000000006,8.183360999999998,2.6642349999999997,0.29925799999999997
bfs,Stinger 4Th,137.82375399999998,39.95717600000001,203.26383299999998,18.640645
bfs,AdListShared 4Th,33.194262,16.004571,24.951226999999996,5.082565
bfs,AdListChunked 4Th,33.182778,12.927427000000003,36.241861,6.429166
bfs,DegAwareRHH 4Th,58.840577,31.367731999999997,11.882607,12.259936999999999
bfs,GraphTango 8Th,9.281596999999998,5.324252,1.7880500000000001,0.224994
bfs,Stinger 8Th,78.96208500000003,23.776786,103.86084799999999,9.761915
bfs,AdListShared 8Th,22.933743,11.187540000000002,32.039549,5.900291
bfs,AdListChunked 8Th,20.011281999999998,8.483332000000003,27.167379999999998,5.102883
bfs,DegAwareRHH 8Th,40.03539100000002,24.230957,12.577303999999996,1.463898



